Level,Date,State Postal Code,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Month
State,1/1/2022,DE,"24,468","2,063","1,319",1
State,1/1/2022,ME,"31,766","2,259","1,880",1
State,1/1/2022,OK,"143,882","21,357","8,872",1
State,1/1/2022,WI,"238,395","30,975","14,347",1
State,1/1/2022,WV,"68,269","6,759","1,644",1
State,1/2/2022,OK,"145,506","22,020","9,058",1
State,1/2/2022,WV,"70,567","6,834","1,692",1
State,1/2/2022,IN,"190,905","34,809","20,761",1
State,1/2/2022,ME,"32,409","2,431","1,889",1
State,1/2/2022,TX,"882,033","223,939","130,396",1
State,1/2/2022,DC,"8,974","7,416","7,371",1
State,1/2/2022,NY,"459,344","73,769","76,736",1
State,1/2/2022,OR,"128,144","17,817","15,582",1
State,1/2/2022,AZ,"213,183","48,263","46,743",1
State,1/2/2022,IL,"345,232","96,179","73,688",1
State,1/2/2022,MI,"265,268","49,947","30,570",1
State,1/2/2022,TN,"192,020","50,276","22,266",1
State,1/2/2022,FL,"454,818","104,132","163,019",1
State,1/2/2022,MT,"49,920","4,968","4,040",1
State,1/2/2022,PA,"346,358","42,883","24,827",1
State,1/2/2022,WI,"241,658","31,490","14,857",1
State,1/2/2022,ID,"66,534","11,716","5,349",1
State,1/2/2022,MO,"266,661","40,148","21,458",1
State,1/2/2022,SD,"43,397","5,601","2,596",1
State,1/2/2022,GA,"337,607","98,483","44,167",1
State,1/2/2022,NV,"69,033","26,024","16,158",1
State,1/2/2022,RI,"12,710","2,589","3,079",1
State,1/2/2022,HI,"8,255","1,826","5,116",1
State,1/2/2022,SC,"154,758","30,613","12,996",1
State,1/2/2022,LA,"170,612","31,104","12,304",1
State,1/2/2022,AL,"158,823","33,980","7,691",1
State,1/2/2022,MN,"208,010","27,936","26,093",1
State,1/2/2022,WA,"213,648","22,195","42,251",1
State,1/2/2022,CA,"892,039","258,399","148,988",1
State,1/2/2022,NH,"24,289","1,627","2,820",1
State,1/2/2022,NC,"345,487","62,473","27,428",1
State,1/2/2022,AR,"139,103","20,260","5,158",1
State,1/2/2022,KY,"154,290","19,560","9,270",1
State,1/2/2022,MD,"137,090","31,109","19,685",1
State,1/2/2022,VA,"260,567","55,478","27,047",1
State,1/2/2022,CO,"151,248","35,150","61,941",1
State,1/2/2022,NM,"125,062","26,998","6,043",1
State,1/2/2022,ND,"33,309","5,279","1,927",1
State,1/2/2022,WY,"35,480","4,344","1,995",1
State,1/2/2022,KS,"102,754","23,410","10,660",1
State,1/2/2022,MA,"100,871","13,614","27,504",1
State,1/2/2022,VT,"13,458","1,572","1,640",1
State,1/2/2022,CT,"42,847","7,584","10,191",1
State,1/2/2022,NE,"66,567","7,974","5,996",1
State,1/2/2022,OH,"246,590","46,531","30,342",1
State,1/2/2022,AK,"12,460","6,509","5,989",1
State,1/2/2022,IA,"138,439","16,435","7,879",1
State,1/2/2022,MS,"105,712","26,168","4,973",1
State,1/2/2022,UT,"98,247","30,391","15,916",1
State,1/2/2022,DE,"24,806","2,176","1,317",1
State,1/2/2022,NJ,"156,292","30,922","28,892",1
State,1/3/2022,NH,"24,402","1,668","2,952",1
State,1/3/2022,MI,"261,536","48,427","30,516",1
State,1/3/2022,NV,"68,239","25,545","16,181",1
State,1/3/2022,MN,"200,833","27,139","26,430",1
State,1/3/2022,NE,"66,622","8,112","5,996",1
State,1/3/2022,MS,"103,776","25,496","4,946",1
State,1/3/2022,MT,"50,715","5,306","4,177",1
State,1/3/2022,MO,"263,924","40,164","21,742",1
State,1/3/2022,WA,"204,439","21,757","43,246",1
State,1/3/2022,CA,"860,292","250,836","152,190",1
State,1/3/2022,WY,"34,764","4,103","2,037",1
State,1/3/2022,VA,"259,043","54,726","27,274",1
State,1/3/2022,CO,"149,633","34,590","62,454",1
State,1/3/2022,VT,"13,501","1,696","1,588",1
State,1/3/2022,CT,"42,805","7,210","10,306",1
State,1/3/2022,UT,"94,571","29,501","16,071",1
State,1/3/2022,DE,"23,684","2,181","1,324",1
State,1/3/2022,AK,"12,912","7,010","6,002",1
State,1/3/2022,TX,"866,419","220,830","132,332",1
State,1/3/2022,DC,"8,855","7,486","7,537",1
State,1/3/2022,TN,"190,946","49,672","22,731",1
State,1/3/2022,FL,"445,686","102,636","166,567",1
State,1/3/2022,SD,"43,139","5,628","2,699",1
State,1/3/2022,GA,"340,162","96,710","45,079",1
State,1/3/2022,SC,"157,878","30,706","13,117",1
State,1/3/2022,HI,"8,231","1,912","5,016",1
State,1/3/2022,WI,"234,062","31,198","15,070",1
State,1/3/2022,RI,"12,757","2,434","3,258",1
State,1/3/2022,ID,"63,886","11,759","5,390",1
State,1/3/2022,PA,"346,358","42,510","25,302",1
State,1/3/2022,IL,"339,654","97,539","74,963",1
State,1/3/2022,OR,"125,645","17,839","15,708",1
State,1/3/2022,IN,"192,492","34,157","21,031",1
State,1/3/2022,AZ,"205,999","46,954","48,166",1
State,1/3/2022,OK,"142,756","22,263","9,248",1
State,1/3/2022,IA,"138,217","16,978","7,854",1
State,1/3/2022,OH,"249,731","46,842","31,087",1
State,1/3/2022,KS,"101,864","22,698","10,687",1
State,1/3/2022,AL,"157,628","33,216","7,793",1
State,1/3/2022,ND,"31,787","5,042","1,952",1
State,1/3/2022,KY,"152,448","19,995","9,456",1
State,1/3/2022,NC,"343,464","62,457","27,591",1
State,1/3/2022,LA,"166,994","31,164","12,594",1
State,1/3/2022,WV,"70,666","7,155","1,678",1
State,1/3/2022,NY,"445,763","73,065","78,586",1
State,1/3/2022,ME,"32,571","2,405","1,912",1
State,1/3/2022,NM,"119,663","27,311","6,205",1
State,1/3/2022,MD,"132,504","31,083","20,503",1
State,1/3/2022,NJ,"150,087","31,224","29,429",1
State,1/3/2022,MA,"99,976","13,014","27,595",1
State,1/3/2022,AR,"135,052","20,022","5,176",1
State,1/4/2022,OK,"142,001","22,307","9,247",1
State,1/4/2022,MS,"103,369","25,492","4,998",1
State,1/4/2022,DE,"24,109","2,050","1,351",1
State,1/4/2022,UT,"92,050","28,910","15,875",1
State,1/4/2022,NM,"114,692","25,718","6,030",1
State,1/4/2022,IA,"138,279","16,497","7,782",1
State,1/4/2022,AZ,"205,001","46,068","45,611",1
State,1/4/2022,OH,"252,977","46,390","30,543",1
State,1/4/2022,NH,"24,644","1,685","2,822",1
State,1/4/2022,CT,"42,990","7,165","10,081",1
State,1/4/2022,VT,"13,006","1,561","1,574",1
State,1/4/2022,NE,"66,268","7,950","5,927",1
State,1/4/2022,KS,"100,800","23,287","10,508",1
State,1/4/2022,WY,"33,624","4,249","1,933",1
State,1/4/2022,ND,"31,852","4,985","1,983",1
State,1/4/2022,MA,"100,062","13,058","27,757",1
State,1/4/2022,CO,"143,722","33,046","61,038",1
State,1/4/2022,VA,"255,401","53,294","26,426",1
State,1/4/2022,MD,"129,018","29,437","19,851",1
State,1/4/2022,KY,"152,282","19,815","9,164",1
State,1/4/2022,WV,"67,942","6,811","1,626",1
State,1/4/2022,NC,"336,773","60,515","27,095",1
State,1/4/2022,MN,"195,691","27,161","26,240",1
State,1/4/2022,CA,"840,008","247,693","146,588",1
State,1/4/2022,MO,"259,310","40,153","21,573",1
State,1/4/2022,SC,"153,543","30,151","12,581",1
State,1/4/2022,WI,"228,774","30,955","14,786",1
State,1/4/2022,NJ,"148,486","30,915","28,750",1
State,1/4/2022,HI,"8,262","1,711","5,089",1
State,1/4/2022,LA,"163,610","30,387","12,572",1
State,1/4/2022,RI,"12,378","2,428","3,192",1
State,1/4/2022,MI,"259,441","47,051","30,455",1
State,1/4/2022,GA,"333,110","93,198","43,118",1
State,1/4/2022,SD,"42,315","5,414","2,596",1
State,1/4/2022,NY,"436,838","71,920","76,671",1
State,1/4/2022,ID,"62,159","11,601","5,249",1
State,1/4/2022,AL,"154,671","32,421","7,711",1
State,1/4/2022,PA,"339,519","42,912","24,647",1
State,1/4/2022,NV,"65,445","24,763","15,546",1
State,1/4/2022,FL,"438,903","99,928","157,791",1
State,1/4/2022,TN,"189,549","48,139","21,934",1
State,1/4/2022,MT,"47,772","5,103","3,988",1
State,1/4/2022,IL,"336,746","96,262","73,454",1
State,1/4/2022,AK,"11,069","6,396","5,858",1
State,1/4/2022,OR,"125,085","17,674","15,110",1
State,1/4/2022,WA,"199,766","22,025","41,822",1
State,1/4/2022,DC,"9,205","6,930","7,298",1
State,1/4/2022,TX,"851,787","216,453","130,299",1
State,1/4/2022,AR,"135,218","20,017","5,080",1
State,1/4/2022,IN,"191,774","33,196","20,486",1
State,1/4/2022,ME,"31,726","2,375","1,923",1
State,1/5/2022,MO,"245,022","37,555","20,411",1
State,1/5/2022,AL,"144,889","30,950","7,380",1
State,1/5/2022,AK,"12,388","6,045","5,592",1
State,1/5/2022,AZ,"196,730","45,092","43,411",1
State,1/5/2022,AR,"127,570","18,920","4,766",1
State,1/5/2022,CA,"833,006","241,480","142,521",1
State,1/5/2022,CO,"138,160","32,589","57,290",1
State,1/5/2022,CT,"40,331","6,774","9,757",1
State,1/5/2022,DE,"22,768","1,889","1,203",1
State,1/5/2022,DC,"8,142","6,641","6,691",1
State,1/5/2022,FL,"422,645","96,059","147,291",1
State,1/5/2022,GA,"312,064","89,626","41,675",1
State,1/5/2022,HI,"7,556","1,633","5,017",1
State,1/5/2022,ID,"60,438","11,175","4,976",1
State,1/5/2022,IL,"322,537","90,970","72,228",1
State,1/5/2022,IN,"179,823","31,477","20,268",1
State,1/5/2022,IA,"130,050","15,760","7,509",1
State,1/5/2022,KS,"95,952","21,660","10,129",1
State,1/5/2022,KY,"143,493","18,637","8,823",1
State,1/5/2022,LA,"156,338","29,243","11,834",1
State,1/5/2022,ME,"29,895","2,270","1,782",1
State,1/5/2022,MD,"124,812","28,736","19,017",1
State,1/5/2022,MA,"94,390","13,168","26,705",1
State,1/5/2022,MI,"246,966","45,957","29,563",1
State,1/5/2022,MN,"189,071","25,508","25,191",1
State,1/5/2022,MS,"98,257","23,476","4,808",1
State,1/5/2022,MT,"46,327","4,983","3,859",1
State,1/5/2022,NE,"62,368","7,949","5,767",1
State,1/5/2022,NV,"66,267","24,530","15,441",1
State,1/5/2022,NH,"23,055","1,524","2,651",1
State,1/5/2022,NJ,"144,653","29,169","27,778",1
State,1/5/2022,NM,"114,476","26,213","5,692",1
State,1/5/2022,NY,"415,717","69,838","72,538",1
State,1/5/2022,NC,"321,088","58,499","25,605",1
State,1/5/2022,ND,"30,458","4,833","1,865",1
State,1/5/2022,OH,"235,704","44,204","29,164",1
State,1/5/2022,OK,"132,715","20,757","8,715",1
State,1/5/2022,OR,"121,344","16,376","14,643",1
State,1/5/2022,PA,"327,508","40,946","23,890",1
State,1/5/2022,RI,"12,499","2,327","2,994",1
State,1/5/2022,SC,"143,135","28,252","12,030",1
State,1/5/2022,SD,"39,960","5,200","2,532",1
State,1/5/2022,TN,"179,431","46,042","20,823",1
State,1/5/2022,TX,"826,193","210,241","124,783",1
State,1/5/2022,UT,"91,992","28,444","15,048",1
State,1/5/2022,VT,"12,494","1,490","1,582",1
State,1/5/2022,VA,"245,388","50,612","25,315",1
State,1/5/2022,WA,"203,206","20,917","39,580",1
State,1/5/2022,WV,"64,108","6,505","1,595",1
State,1/5/2022,WI,"219,379","29,607","14,181",1
State,1/5/2022,WY,"32,796","4,044","1,721",1
State,1/6/2022,TX,"865,708","212,934","126,545",1
State,1/6/2022,OK,"138,881","20,855","8,831",1
State,1/6/2022,NM,"118,265","26,196","5,895",1
State,1/6/2022,DE,"23,390","1,958","1,239",1
State,1/6/2022,TN,"182,915","47,531","21,109",1
State,1/6/2022,NE,"65,355","7,727","5,776",1
State,1/6/2022,IL,"326,260","92,659","72,293",1
State,1/6/2022,DC,"8,510","6,826","6,844",1
State,1/6/2022,OR,"122,787","17,475","14,864",1
State,1/6/2022,MS,"102,543","24,308","4,846",1
State,1/6/2022,SD,"42,655","5,270","2,587",1
State,1/6/2022,WI,"224,052","30,826","14,926",1
State,1/6/2022,MO,"254,061","39,199","20,898",1
State,1/6/2022,ID,"62,784","11,512","5,208",1
State,1/6/2022,NV,"67,179","25,154","15,640",1
State,1/6/2022,PA,"331,000","42,406","24,507",1
State,1/6/2022,LA,"164,465","30,549","12,060",1
State,1/6/2022,FL,"434,586","98,923","154,578",1
State,1/6/2022,SC,"147,816","29,441","12,639",1
State,1/6/2022,AZ,"202,981","45,396","45,130",1
State,1/6/2022,HI,"7,773","1,853","4,920",1
State,1/6/2022,AK,"12,683","6,011","5,949",1
State,1/6/2022,RI,"13,565","2,309","3,062",1
State,1/6/2022,NY,"428,240","70,537","75,959",1
State,1/6/2022,GA,"324,454","91,867","43,135",1
State,1/6/2022,MD,"124,998","28,913","19,030",1
State,1/6/2022,AR,"133,634","19,669","4,899",1
State,1/6/2022,VA,"245,801","51,009","25,703",1
State,1/6/2022,WA,"202,663","20,982","40,396",1
State,1/6/2022,KY,"146,914","18,329","9,075",1
State,1/6/2022,WY,"33,593","4,124","1,946",1
State,1/6/2022,NC,"327,762","59,345","26,483",1
State,1/6/2022,NJ,"143,959","29,057","28,788",1
State,1/6/2022,AL,"152,783","31,919","7,605",1
State,1/6/2022,CA,"827,538","244,207","141,412",1
State,1/6/2022,NH,"22,778","1,712","2,902",1
State,1/6/2022,KS,"99,058","21,760","10,466",1
State,1/6/2022,WV,"66,181","6,742","1,708",1
State,1/6/2022,ND,"31,090","5,007","1,863",1
State,1/6/2022,MN,"192,359","25,815","26,333",1
State,1/6/2022,VT,"12,990","1,757","1,567",1
State,1/6/2022,CO,"143,164","33,005","57,938",1
State,1/6/2022,MT,"47,005","4,988","3,928",1
State,1/6/2022,IA,"134,425","16,121","7,796",1
State,1/6/2022,MA,"101,845","13,698","27,468",1
State,1/6/2022,OH,"237,712","44,576","29,784",1
State,1/6/2022,ME,"31,048","2,495","1,845",1
State,1/6/2022,UT,"91,894","29,172","15,465",1
State,1/6/2022,CT,"43,175","6,730","9,875",1
State,1/6/2022,MI,"251,952","45,795","30,247",1
State,1/6/2022,IN,"184,640","32,286","20,516",1
State,1/7/2022,AL,"153,428","32,017","7,619",1
State,1/7/2022,NH,"23,585","1,641","2,892",1
State,1/7/2022,MD,"125,022","28,901","19,386",1
State,1/7/2022,NJ,"143,385","29,199","28,817",1
State,1/7/2022,ME,"30,711","2,372","1,902",1
State,1/7/2022,AZ,"197,817","44,696","46,029",1
State,1/7/2022,NM,"114,425","26,029","6,000",1
State,1/7/2022,LA,"164,265","30,453","12,285",1
State,1/7/2022,NY,"424,658","70,645","75,993",1
State,1/7/2022,KY,"147,961","18,948","8,922",1
State,1/7/2022,NC,"329,901","58,733","26,557",1
State,1/7/2022,KS,"98,532","22,908","10,508",1
State,1/7/2022,ND,"31,533","4,976","1,927",1
State,1/7/2022,IA,"135,755","16,626","7,801",1
State,1/7/2022,WV,"66,661","6,916","1,648",1
State,1/7/2022,OH,"242,520","45,874","30,085",1
State,1/7/2022,IN,"188,524","32,736","20,263",1
State,1/7/2022,OK,"139,896","21,246","8,830",1
State,1/7/2022,IL,"328,761","94,101","71,542",1
State,1/7/2022,OR,"124,172","17,417","14,892",1
State,1/7/2022,ID,"62,552","11,592","5,304",1
State,1/7/2022,AK,"12,601","5,750","5,915",1
State,1/7/2022,PA,"333,257","42,761","24,714",1
State,1/7/2022,HI,"7,782","1,875","4,920",1
State,1/7/2022,RI,"12,981","2,217","3,159",1
State,1/7/2022,GA,"325,540","90,990","43,491",1
State,1/7/2022,WY,"34,604","4,078","1,953",1
State,1/7/2022,SC,"151,166","29,621","12,599",1
State,1/7/2022,FL,"430,901","98,688","157,010",1
State,1/7/2022,SD,"42,643","5,372","2,675",1
State,1/7/2022,DC,"8,596","6,920","7,060",1
State,1/7/2022,WI,"228,164","32,257","14,828",1
State,1/7/2022,TN,"188,930","48,353","21,262",1
State,1/7/2022,DE,"23,713","2,069","1,242",1
State,1/7/2022,TX,"864,498","215,658","125,880",1
State,1/7/2022,CT,"42,469","6,865","9,846",1
State,1/7/2022,UT,"92,930","28,588","15,780",1
State,1/7/2022,CO,"144,232","32,582","58,655",1
State,1/7/2022,MA,"97,790","12,991","27,101",1
State,1/7/2022,VT,"13,226","1,784","1,629",1
State,1/7/2022,CA,"825,488","237,567","141,403",1
State,1/7/2022,VA,"250,851","51,246","25,876",1
State,1/7/2022,AR,"133,558","19,591","4,997",1
State,1/7/2022,MO,"257,237","39,674","21,140",1
State,1/7/2022,MS,"103,174","25,405","4,929",1
State,1/7/2022,MT,"48,615","5,079","4,119",1
State,1/7/2022,MN,"194,249","26,147","26,135",1
State,1/7/2022,NE,"65,038","8,006","5,928",1
State,1/7/2022,MI,"252,759","46,968","29,949",1
State,1/7/2022,WA,"198,780","21,167","40,785",1
State,1/7/2022,NV,"66,646","24,622","15,871",1
State,1/8/2022,NH,"24,270","1,681","2,869",1
State,1/8/2022,TX,"888,524","219,610","124,907",1
State,1/8/2022,CT,"44,183","7,069","9,882",1
State,1/8/2022,MT,"48,998","4,897","4,047",1
State,1/8/2022,IN,"187,693","31,829","19,881",1
State,1/8/2022,AL,"156,362","31,922","7,725",1
State,1/8/2022,OH,"247,233","44,123","30,396",1
State,1/8/2022,MN,"198,894","26,021","26,675",1
State,1/8/2022,UT,"93,308","28,556","15,404",1
State,1/8/2022,CO,"146,849","33,571","58,279",1
State,1/8/2022,NV,"67,748","24,755","15,486",1
State,1/8/2022,IA,"137,953","16,191","7,815",1
State,1/8/2022,NJ,"148,174","29,932","29,116",1
State,1/8/2022,ND,"32,410","4,924","1,969",1
State,1/8/2022,AZ,"206,778","45,322","45,046",1
State,1/8/2022,VT,"13,269","1,670","1,619",1
State,1/8/2022,CA,"859,096","245,290","140,556",1
State,1/8/2022,MD,"128,722","28,946","19,152",1
State,1/8/2022,KS,"102,497","22,890","10,369",1
State,1/8/2022,NC,"333,118","59,352","26,519",1
State,1/8/2022,KY,"150,302","19,195","8,862",1
State,1/8/2022,WA,"202,163","21,031","40,526",1
State,1/8/2022,VA,"256,651","51,670","25,826",1
State,1/8/2022,AR,"136,873","19,562","4,944",1
State,1/8/2022,NE,"65,328","7,962","5,901",1
State,1/8/2022,GA,"329,403","91,483","43,042",1
State,1/8/2022,NY,"435,319","68,986","76,147",1
State,1/8/2022,RI,"12,925","2,271","3,193",1
State,1/8/2022,LA,"167,195","30,743","12,174",1
State,1/8/2022,HI,"8,094","1,776","4,929",1
State,1/8/2022,MI,"258,695","46,624","30,103",1
State,1/8/2022,SC,"152,183","29,388","12,468",1
State,1/8/2022,FL,"440,790","99,391","153,091",1
State,1/8/2022,MO,"261,651","38,910","21,181",1
State,1/8/2022,PA,"336,212","41,642","24,680",1
State,1/8/2022,ID,"62,869","11,444","5,239",1
State,1/8/2022,OR,"126,679","17,681","15,038",1
State,1/8/2022,MS,"101,969","25,148","5,045",1
State,1/8/2022,SD,"43,210","5,438","2,643",1
State,1/8/2022,DC,"8,204","6,579","6,959",1
State,1/8/2022,MA,"102,343","12,882","27,686",1
State,1/8/2022,AK,"12,386","6,594","5,821",1
State,1/8/2022,NM,"118,594","26,453","5,820",1
State,1/8/2022,IL,"334,739","93,520","71,874",1
State,1/8/2022,WY,"34,059","4,195","1,854",1
State,1/8/2022,TN,"188,925","47,659","21,211",1
State,1/8/2022,DE,"23,766","2,010","1,304",1
State,1/8/2022,ME,"31,073","2,428","1,911",1
State,1/8/2022,OK,"142,157","21,038","8,940",1
State,1/8/2022,WI,"231,840","32,635","14,881",1
State,1/8/2022,WV,"67,688","6,652","1,647",1
State,1/9/2022,OK,"144,051","21,075","8,667",1
State,1/9/2022,WV,"68,953","6,811","1,581",1
State,1/9/2022,IN,"192,044","32,179","20,187",1
State,1/9/2022,ME,"32,341","2,444","1,855",1
State,1/9/2022,TX,"888,510","220,561","123,306",1
State,1/9/2022,DC,"8,041","6,700","6,420",1
State,1/9/2022,NY,"444,170","70,654","74,760",1
State,1/9/2022,OR,"128,683","18,036","14,977",1
State,1/9/2022,AZ,"212,318","46,927","44,972",1
State,1/9/2022,IL,"343,870","96,290","71,848",1
State,1/9/2022,MI,"267,520","47,853","29,863",1
State,1/9/2022,TN,"190,624","49,083","20,839",1
State,1/9/2022,FL,"448,756","102,308","152,238",1
State,1/9/2022,MT,"49,719","5,215","3,896",1
State,1/9/2022,PA,"336,495","42,427","24,240",1
State,1/9/2022,WI,"238,992","33,489","15,188",1
State,1/9/2022,ID,"66,098","11,774","5,293",1
State,1/9/2022,MO,"264,895","40,132","20,945",1
State,1/9/2022,SD,"44,377","5,638","2,595",1
State,1/9/2022,GA,"336,251","93,263","42,677",1
State,1/9/2022,NV,"70,693","26,254","15,757",1
State,1/9/2022,RI,"13,791","2,512","3,234",1
State,1/9/2022,HI,"8,174","1,715","4,816",1
State,1/9/2022,SC,"153,300","29,915","12,143",1
State,1/9/2022,LA,"169,249","30,667","11,998",1
State,1/9/2022,AL,"157,854","32,847","7,481",1
State,1/9/2022,MN,"204,450","26,702","26,730",1
State,1/9/2022,WA,"208,555","21,778","41,069",1
State,1/9/2022,CA,"882,163","251,157","140,781",1
State,1/9/2022,NH,"24,432","1,597","2,858",1
State,1/9/2022,NC,"333,981","59,341","25,921",1
State,1/9/2022,AR,"138,594","20,269","4,814",1
State,1/9/2022,KY,"153,086","19,516","8,887",1
State,1/9/2022,MD,"128,232","29,884","19,037",1
State,1/9/2022,VA,"252,240","51,091","25,376",1
State,1/9/2022,CO,"150,520","34,452","58,338",1
State,1/9/2022,NM,"122,805","28,107","5,825",1
State,1/9/2022,ND,"33,293","5,105","1,889",1
State,1/9/2022,WY,"34,354","4,374","1,868",1
State,1/9/2022,KS,"103,905","22,277","10,155",1
State,1/9/2022,MA,"101,420","13,530","27,200",1
State,1/9/2022,VT,"13,536","1,747","1,594",1
State,1/9/2022,CT,"45,401","7,022","10,105",1
State,1/9/2022,NE,"65,973","8,267","5,777",1
State,1/9/2022,OH,"250,277","45,811","29,682",1
State,1/9/2022,AK,"13,383","6,316","5,943",1
State,1/9/2022,IA,"140,578","16,846","7,742",1
State,1/9/2022,MS,"104,114","25,059","4,818",1
State,1/9/2022,UT,"96,938","29,355","14,974",1
State,1/9/2022,DE,"23,859","2,030","1,235",1
State,1/9/2022,NJ,"151,935","29,885","28,246",1
State,1/10/2022,NH,"23,229","1,585","2,994",1
State,1/10/2022,MI,"255,701","48,289","31,305",1
State,1/10/2022,NV,"68,327","26,180","16,268",1
State,1/10/2022,MN,"194,534","27,088","27,748",1
State,1/10/2022,NE,"63,600","8,110","5,949",1
State,1/10/2022,MS,"100,682","26,067","5,033",1
State,1/10/2022,MT,"46,936","5,086","4,211",1
State,1/10/2022,MO,"256,237","40,280","21,569",1
State,1/10/2022,WA,"202,503","22,176","42,430",1
State,1/10/2022,CA,"832,902","249,008","143,723",1
State,1/10/2022,WY,"33,678","4,336","2,060",1
State,1/10/2022,VA,"241,613","51,372","25,911",1
State,1/10/2022,CO,"141,790","34,194","60,512",1
State,1/10/2022,VT,"13,222","1,847","1,639",1
State,1/10/2022,CT,"44,797","6,923","10,161",1
State,1/10/2022,UT,"93,972","29,280","16,035",1
State,1/10/2022,DE,"23,544","2,055","1,262",1
State,1/10/2022,AK,"13,458","6,028","6,073",1
State,1/10/2022,TX,"846,427","222,908","128,671",1
State,1/10/2022,DC,"8,204","6,495","6,572",1
State,1/10/2022,TN,"187,725","50,802","21,851",1
State,1/10/2022,FL,"436,170","104,635","162,082",1
State,1/10/2022,SD,"42,112","5,568","2,723",1
State,1/10/2022,GA,"328,040","94,281","44,506",1
State,1/10/2022,SC,"151,516","31,035","12,839",1
State,1/10/2022,HI,"7,787","1,740","4,898",1
State,1/10/2022,WI,"225,281","32,662","15,866",1
State,1/10/2022,RI,"13,228","2,434","3,332",1
State,1/10/2022,ID,"61,997","12,009","5,470",1
State,1/10/2022,PA,"327,612","43,798","25,085",1
State,1/10/2022,IL,"333,915","97,133","72,846",1
State,1/10/2022,OR,"123,457","18,258","15,214",1
State,1/10/2022,IN,"187,816","32,860","21,231",1
State,1/10/2022,AZ,"204,887","47,383","46,112",1
State,1/10/2022,OK,"141,975","21,639","8,866",1
State,1/10/2022,IA,"132,999","17,038","8,277",1
State,1/10/2022,OH,"245,235","47,084","30,809",1
State,1/10/2022,KS,"99,289","22,788","10,627",1
State,1/10/2022,AL,"154,487","33,150","7,953",1
State,1/10/2022,ND,"30,748","5,395","1,942",1
State,1/10/2022,KY,"151,146","19,815","9,369",1
State,1/10/2022,NC,"329,521","60,619","26,821",1
State,1/10/2022,LA,"162,733","31,147","12,356",1
State,1/10/2022,WV,"65,074","6,793","1,679",1
State,1/10/2022,NY,"428,232","72,672","76,592",1
State,1/10/2022,ME,"30,865","2,563","2,022",1
State,1/10/2022,NM,"115,407","27,239","6,031",1
State,1/10/2022,MD,"123,112","29,351","19,263",1
State,1/10/2022,NJ,"146,947","30,348","29,781",1
State,1/10/2022,MA,"99,797","13,525","28,102",1
State,1/10/2022,AR,"133,880","20,424","5,028",1
State,1/11/2022,OK,"128,611","19,584","8,799",1
State,1/11/2022,MS,"90,796","24,033","4,819",1
State,1/11/2022,DE,"21,055","1,988","1,212",1
State,1/11/2022,UT,"83,374","26,649","15,960",1
